Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","0.047u","C_0603_HandSoldering",92.550000,-71.000000,180.000000,top
"C2","0.047u","C_0603_HandSoldering",96.100000,-74.300000,180.000000,top
"C3","0.047u","C_0603_HandSoldering",136.450000,-65.600000,0.000000,top
"C4","0.047u","C_0603_HandSoldering",128.500000,-74.000000,0.000000,top
"C5","0.047u","C_0603_HandSoldering",122.500000,-75.000000,0.000000,top
"C6","0.047u","C_0603_HandSoldering",92.500000,-56.150000,180.000000,top
"C7","0.047u","C_0603_HandSoldering",92.600000,-68.250000,180.000000,top
"C8","1u","C_0603_HandSoldering",92.500000,-54.500000,180.000000,top
"C9","1u","C_0603_HandSoldering",93.300000,-64.850000,-90.000000,top
"C10","1u","C_0603_HandSoldering",137.700000,-67.400000,180.000000,top
"C11","1u","C_0603_HandSoldering",63.150000,-76.150000,-90.000000,top
"C12","1u","C_0603_HandSoldering",173.750000,-98.000000,90.000000,top
"D1","D_Schottky","D_SOD-523_large_pads",109.100000,-53.600000,180.000000,top
"R1","2k","R_0603_1608Metric",86.325000,-69.500000,180.000000,top
"R2","2k","R_0603_1608Metric",92.325000,-77.500000,180.000000,top
"U3","ME6206A25XG","SOT-23_Handsoldering",92.350000,-60.000000,270.000000,top
